time;Si (?mol/L);Al (?mol/L)
0;0.102698151;1.151950086
0.016666667;0.256448831;1.394052458
0.033333333;0.448094558;1.59748982
0.05;0.699404826;1.723597163
0.066666667;1.011992191;1.827610216
0.083333333;1.211700694;2.108377597
0.1;1.463817239;2.344956395
0.116666667;1.708677287;2.639532708
0.133333333;2.007557933;2.884396866
0.15;2.298375803;3.046407432
0.166666667;2.665790045;3.180800135
0.183333333;2.964670691;3.456043943
0.2;3.340147708;3.684337382
0.216666667;3.67047318;4.161191596
0.233333333;4.078201301;4.557954005
0.25;4.416589549;5.032046432
0.266666667;4.839636944;5.428808841
0.283333333;5.140936423;6.005087365
0.3;5.510769497;6.487465151
0.316666667;5.843513802;7.094123325
0.333333333;6.260917254;7.604118975
0.35;6.578342285;8.017452102
0.366666667;6.98123274;8.364502356
0.383333333;7.168847079;9.009825539
0.4;7.40241924;9.547439054
0.416666667;7.636797679;10.2203801
0.433333333;7.932453215;10.78284969
0.45;8.213595754;11.37569893
0.466666667;8.564078166;11.87188565
0.483333333;8.860539979;12.6470128
0.5;9.227147943;13.29233598
0.516666667;9.547798084;14.11717528
0.533333333;9.95391365;14.80392525
0.55;10.28343284;15.5790524
0.566666667;10.69841746;16.22713737
0.583333333;11.02793666;17.04645309
0.6;11.44372755;17.73320307
0.616666667;11.80549785;18.58289845
0.633333333;12.26160263;19.29174272
0.65;12.57660883;20.01163413
0.666666667;12.97143651;20.61000695
0.683333333;13.1929145;21.60331521
0.7;13.47083193;22.4309163
0.716666667;13.73262381;23.45460421
0.733333333;14.06536812;24.30982316
0.75;14.34328554;25.28103714
0.766666667;14.68409262;26.08930572
0.783333333;15.00232393;27.05223433
0.8;15.39876417;27.85221756
0.816666667;15.73312103;28.8510494
0.833333333;16.15536215;29.68417405
0.85;16.47439973;30.79623913
0.866666667;16.88132157;31.72326453
0.883333333;17.24067304;32.79942639
0.9;17.69597154;33.69607213
0.916666667;18.04081001;34.65347717
0.933333333;18.46466368;35.45069861
0.95;18.71436139;36.4799101
0.966666667;19.02856131;37.33512905
0.983333333;19.2863218;38.39748197
1;19.6085845;39.28584236
1.016666667;19.90746514;40.32610099
1.033333333;20.2781045;41.19512887
1.05;20.58504792;42.27405252
1.066666667;20.96455632;43.17622183
1.083333333;21.26424325;44.18057725
1.1;21.63649515;45.01922548
1.116666667;21.95311391;45.95453623
1.133333333;22.35036042;46.73518694
1.15;22.70003655;47.63735626
1.166666667;23.13840322;48.39038911
1.183333333;23.44776548;49.35055594
1.2;23.83856177;50.15053916
1.216666667;24.15759936;51.17975065
1.233333333;24.5572647;52.04049317
1.25;24.78680547;53.00894536
1.266666667;25.07359196;53.81721394
1.283333333;25.29587623;54.78290435
1.3;25.57540622;55.58564935
1.316666667;25.83881065;56.41601222
1.333333333;26.16671729;57.10552399
1.35;26.44705355;57.79779754
1.366666667;26.80076107;58.37683785
1.383333333;27.12141121;59.14367964
1.4;27.52510794;59.78624103
1.416666667;27.82237604;60.71879
1.433333333;28.19382166;61.49667893
1.45;28.49189603;62.36846859
1.466666667;28.86414794;63.09664537
1.483333333;29.17109136;64.06785934
1.5;29.55140605;64.87612792
1.516666667;29.80997281;65.78105903
1.533333333;30.13384806;66.53409188
1.55;30.36742022;67.37274011
1.566666667;30.65985065;68.07329902
1.583333333;30.93454297;68.93127975
1.6;31.28502538;69.64840938
1.616666667;31.56052398;70.41248938
1.633333333;31.90294361;71.05228899
1.65;32.16312293;71.80808363
1.666666667;32.48941702;72.43959788
1.683333333;32.76652817;73.03244712
1.7;33.10975408;73.52587205
1.716666667;33.37073968;74.096627
1.733333333;33.68977727;74.57071943
1.75;33.98462653;75.14699796
1.766666667;34.3544596;75.62661396
1.783333333;34.64124608;76.26088999
1.8;34.99495361;76.78745636
1.816666667;35.24061993;77.29192844
1.833333333;35.5532073;77.71078514
1.85;35.7238898;78.27049294
1.866666667;35.94456152;78.7390618
1.883333333;36.15717047;79.31534032
1.9;36.4205749;79.79771811
1.916666667;36.67591656;80.56732168
1.933333333;36.9893102;81.20988308
1.95;37.26158369;81.89663305
1.966666667;37.60158449;82.46738801
1.983333333;37.8657952;82.98014544
2;38.18967045;83.4072875
2.016666667;38.45388116;84.03051639
2.033333333;38.78662546;84.5487974
2.05;39.02664785;85.04774591
2.066666667;39.33439755;85.46384082
2.083333333;39.60828359;85.92964789
2.1;39.95070322;86.31812494
2.116666667;40.13186734;86.82259702
2.133333333;40.36382695;87.2442155
2.15;40.57079195;87.79563795
2.166666667;40.82935871;88.25315966
2.183333333;41.05325554;88.64992207
2.2;41.32875414;88.9804016
2.216666667;41.55345725;89.39097294
2.233333333;41.83863118;89.73249962
2.25;42.08026611;90.00498165
2.266666667;42.39043464;90.23327509
2.283333333;42.64174491;90.70736751
2.3;42.95271972;91.10412992
2.316666667;43.20402999;91.43460946
2.333333333;43.52468013;91.71261505
2.35;43.7759904;92.20880177
2.366666667;44.09664054;92.6221349
2.383333333;44.34069431;93.08518018
2.4;44.64441262;93.47089544
2.416666667;44.8199328;93.93117894
2.433333333;45.02931663;94.31413241
2.45;45.21370586;94.73851269
2.466666667;45.4408278;95.0938483
2.483333333;45.65988697;95.28071494
2.5;45.93941695;95.43720194
2.516666667;46.15847611;95.90300901
2.533333333;46.42913704;96.29148606
2.55;46.64013343;96.57225344
2.566666667;46.91160064;96.80607045
2.583333333;47.14033514;97.14207356
2.6;47.4206714;97.42560272
2.616666667;47.64053684;97.65665795
2.633333333;47.91281033;97.85180995
2.65;48.13348205;98.04696196
2.666666667;48.40656181;98.2144961
2.683333333;48.62723353;98.50078705
2.7;48.90031329;98.74012763
2.716666667;49.03390703;98.99603894
2.733333333;49.20297699;99.21052345
2.75;49.38091599;99.5769062
2.766666667;49.60239399;99.88252966
2.783333333;49.780333;100.2489124
2.8;50.001811;100.5572977
2.816666667;50.18861906;100.9512983
2.833333333;50.41977239;101.279016
2.85;50.65011944;101.6978727
2.866666667;50.94254986;102.044923
2.883333333;51.18257224;102.2096953
2.9;51.47500267;102.3496116
2.916666667;51.68922417;102.5779051
2.933333333;51.96472276;102.7675335
2.95;52.18781332;102.9599237
2.966666667;52.46411819;103.1219343
2.983333333;52.64366975;103.1403319
3;52.86756658;103.1587296
3.016666667;53.02938004;103.4201645
3.033333333;53.22666971;103.6374108
3.05;53.38928944;103.8436099
3.066666667;53.59544817;104.0166677
3.083333333;53.78467506;104.3554325
3.1;54.01744094;104.6361999
3.116666667;54.21553689;104.9197291
3.133333333;54.45797811;105.1563079
3.15;54.66494311;105.4232663
3.166666667;54.92512243;105.6460362
3.183333333;55.13289371;105.675481
3.2;55.39307303;105.7021641
3.216666667;55.60084431;106.0160729
3.233333333;55.86182991;106.2775078
3.25;56.07927652;106.4643744
3.266666667;56.34913117;106.6208614
3.283333333;56.57544683;106.8325841
3.3;56.85497681;107.0084036
3.316666667;56.96599478;107.2726003
3.333333333;57.10281363;107.4953701
3.35;57.24043876;107.6822368
3.366666667;57.4135401;107.835962
3.383333333;57.57777239;107.9482604
3.4;57.77828717;108.0439881
3.416666667;57.92478135;108.2943758
3.433333333;58.11642708;108.5060985
3.45;58.2903347;108.4968784
3.466666667;58.49971853;108.4876582
3.483333333;58.68249521;108.5916712
3.5;58.90961715;108.6763518
3.516666667;59.10206915;108.9212159
3.533333333;59.34773548;109.1274151
3.55;59.52244937;109.1402892
3.566666667;59.73263948;109.1504015
3.583333333;59.87993994;109.456025
3.6;60.06352289;109.7091745
3.616666667;60.18421619;109.8131875
3.633333333;60.33232293;109.9033916
3.65;60.47075433;110.1869208
3.666666667;60.64546823;110.4234996
3.683333333;60.80244402;110.588272
3.7;60.9957023;110.7281882
3.716666667;61.15267809;111.0061938
3.733333333;61.34593637;111.2400108
3.75;61.54886999;111.3964978
3.766666667;61.80501792;111.5281288
3.783333333;61.97166904;111.8530847
3.8;62.18347171;112.122805
3.816666667;62.36866722;112.2737684
3.833333333;62.59901427;112.3998757
3.85;62.75679633;112.5315066
3.866666667;62.95086089;112.6382815
3.883333333;63.0820358;112.7699124
3.9;63.24868692;112.879449
3.916666667;63.36131744;112.9779385
3.933333333;63.51103674;113.0598573
3.95;63.65994975;113.2826271
3.966666667;63.83708248;113.4694938
3.983333333;63.96825739;113.5956011
4;64.13571479;113.6996142
4.016666667;64.28543408;113.9306694
4.033333333;64.48030492;114.1230596
4.05;64.60261077;114.3568766
4.066666667;64.76119911;114.5520286
4.083333333;64.91091841;114.4958581
4.1;65.10659552;114.4507346
4.116666667;65.2748592;114.6817899
4.133333333;65.48021164;114.8769419
4.15;65.63879999;114.9478135
4.166666667;65.83528338;115.007638
4.183333333;65.92130674;115.241455
4.2;66.02587449;115.4338452
4.216666667;66.13044224;115.5599525
4.233333333;66.25355437;115.6639656
4.25;66.36779744;115.7790258
4.266666667;66.49977863;115.8775153
4.283333333;66.63175981;115.9870519
4.3;66.79196071;116.077256
4.316666667;66.93361723;116.324882
4.333333333;67.11155624;116.5283193
4.35;67.22579932;116.6295706
4.366666667;67.37713116;116.7142511
4.383333333;67.51878768;116.8652146
4.4;67.69753296;116.9913219
4.416666667;67.81177604;117.2085682
4.433333333;67.95423884;117.3899113
4.45;68.07735097;117.640299
4.466666667;68.22868281;117.8492599
4.483333333;68.32518778;117.9339405
4.5;68.44910619;118.0048121
4.516666667;68.60043804;118.0480658
4.533333333;68.78885866;118.085796
4.55;68.89423268;118.1345733
4.566666667;69.02782642;118.1778271
4.583333333;69.16142016;118.3343141
4.6;69.33129639;118.465945
4.616666667;69.45602108;118.5865288
4.633333333;69.61702826;118.68778
4.65;69.72240228;118.7614134
4.666666667;69.85599602;118.8239997
4.683333333;70.02667853;118.9611542
4.7;70.23444981;119.0762144
4.716666667;70.36884983;119.147086
4.733333333;70.53953234;119.2069105
4.75;70.64571264;119.2639732
4.766666667;70.78011266;119.3099887
4.783333333;70.84920419;119.3863839
4.8;70.93684011;119.4489701
4.816666667;71.04302041;119.5861246
4.833333333;71.17661415;119.7011848
4.85;71.31101417;120.0040465
4.866666667;71.4736339;120.257196
4.883333333;71.59835859;120.5213927
4.9;71.76097832;120.7414008
4.916666667;71.86715862;120.8150342
4.933333333;72.00155864;120.8776204
4.95;72.10854522;121.0147749
4.966666667;72.24294524;121.1325969
4.983333333;72.35880087;121.2089921
5;72.49400716;121.2715783
5.016666667;72.63808251;121.3894003
5.033333333;72.81924663;121.4878898
5.05;72.91655788;121.6719947
5.066666667;73.04208884;121.8257199
5.083333333;73.14907542;121.9573508
5.1;73.27541266;122.0668874
5.116666667;73.3912683;122.1432826
5.133333333;73.52647459;122.2058689
5.15;73.58669707;122.2712169
5.166666667;73.66627021;122.3255178
5.183333333;73.71681736;122.3135358
5.2;73.77784612;122.3043156
5.216666667;73.91305241;122.2674776
5.233333333;74.07647842;122.2361631
5.25;74.183465;122.3429379
5.266666667;74.30980225;122.4303803
5.283333333;74.37970006;122.564773
5.3;74.46814225;122.6770714
5.316666667;74.60415482;122.8280348
5.333333333;74.77725617;122.9569039
5.35;74.90359341;123.0802495
5.366666667;75.05815036;123.1815008
5.383333333;75.14659256;123.3821763
5.4;75.25438542;123.5469487
5.416666667;75.30573884;123.6012496
5.433333333;75.3667676;123.6445033
5.45;75.46488513;123.6877571
5.466666667;75.58154704;123.7254873
5.483333333;75.69901522;123.8046442
5.5;75.84470313;123.8699923
5.516666667;75.90573188;124.0402882
5.533333333;75.98530503;124.1802045
5.55;76.0745535;124.1930786
5.566666667;76.18234636;124.2031909
5.583333333;76.29013921;124.3900575
5.6;76.41728273;124.5437828
5.616666667;76.57264597;124.6091308
5.633333333;76.76590425;124.6606699
5.65;76.62858872;124.8613455
5.666666667;76.46305347;125.0288796
5.683333333;76.91109547;125.193652
5.7;77.46314728;125.3308065
5.716666667;77.81846736;125.5121495
5.733333333;78.25844658;125.6658747
5.75;78.32915067;125.7643642
5.766666667;78.40953009;125.846283
5.783333333;78.38509342;125.9364871
5.8;78.3517877;126.0101205
5.816666667;78.32815731;126.1362278
5.833333333;78.29404531;126.2430027
5.85;78.33652969;126.2475914
5.866666667;78.39755844;126.2521802
5.883333333;78.46906881;126.4059054
5.9;78.55831728;126.5320127
5.916666667;78.67659175;126.710594
5.933333333;78.82389221;126.8587956
5.95;78.97038639;126.9710941
5.966666667;79.15558189;127.06406
5.983333333;79.25531197;127.2371177
6;79.37358644;127.3797957
6.016666667;79.53056223;127.4368584
6.033333333;79.71575774;127.4856357
6.05;79.7872681;127.3245173
6.066666667;79.87732285;127.1910167
6.083333333;79.98672826;127.2480794
