time;Si (?mol/L);Al (?mol/L)
0;-0.105512128;0.612404158
0.016666667;0.213808085;0.720239553
0.033333333;0.720776818;0.808871849
0.05;1.350238334;0.801488651
0.066666667;2.2142605;0.794105453
0.083333333;3.299812169;0.973266644
0.1;4.222040125;1.119508236
0.116666667;;1.353535422
0.133333333;;1.546413112
0.15;;1.750264
0.166666667;;1.918451991
0.183333333;;2.185398775
0.2;;2.405709463
0.216666667;;2.757698542
0.233333333;;3.052078324
0.25;;3.354688006
0.266666667;;3.610661592
0.283333333;;3.924244473
0.3;;4.185704658
0.316666667;;4.521233938
0.333333333;;4.799153921
0.35;;5.206008996
0.366666667;;5.544281576
0.383333333;;5.920960353
0.4;;6.234543235
0.416666667;;6.775820001
0.433333333;;7.229311173
0.45;;7.872090033
0.466666667;;8.4051369
0.483333333;;8.951900266
0.5;9.878928569;9.408134738
0.516666667;9.720440051;10.12223939
0.533333333;9.616682352;10.72112546
0.55;9.481649899;11.44894661
0.566666667;9.439572963;12.05606257
0.583333333;9.389677339;12.89361572
0.6;9.385825101;13.59126058
0.616666667;9.374154175;14.47270652
0.633333333;9.424164013;15.20875757
0.65;9.481992538;16.06277052
0.666666667;9.609320516;16.77687517
0.683333333;9.759235815;17.61991492
0.7;9.793608276;18.32304638
0.716666667;9.836668169;19.18528922
0.733333333;9.94835877;19.90488048
0.75;10.08350544;20.78083982
0.766666667;10.21083341;21.51140428
0.783333333;10.36161746;22.43948632
0.8;10.53498882;23.21120027
0.816666667;10.74745363;24.06246991
0.833333333;11.01464925;24.77383127
0.85;11.34352564;25.63881742
0.866666667;11.58031525;26.36389527
0.883333333;11.87878563;27.30295051
0.9;12.03738836;28.08563766
0.916666667;12.23595328;29.0630991
0.933333333;12.44146814;29.87870585
0.95;12.69389513;30.98510238
0.966666667;12.88464135;31.90495452
0.983333333;13.11448102;32.96745825
1;13.31304594;33.85439079
1.016666667;13.55852298;34.85379863
1.033333333;13.80400003;35.68860848
1.05;14.10420789;36.72642251
1.066666667;14.40441576;37.58866536
1.083333333;14.77586056;38.61550619
1.1;15.08475585;39.46951914
1.116666667;15.46488809;40.53202287
1.133333333;15.7902895;41.41621211
1.15;16.1938778;42.45128285
1.166666667;16.37854283;43.31352569
1.183333333;16.61011998;44.40346242
1.2;16.85038457;45.31234137
1.216666667;17.15319866;46.3940482
1.233333333;17.44037538;47.29744054
1.25;17.79878903;48.20906278
1.266666667;18.11029056;48.96706023
1.283333333;18.50084771;50.05699697
1.3;18.78194322;50.96313261
1.316666667;19.12558824;51.86103835
1.333333333;19.35890289;52.6108059
1.35;19.64781709;53.49773845
1.366666667;20.00101828;54.2365328
1.383333333;20.44109379;55.35390253
1.4;20.76302024;56.28472787
1.416666667;21.16487105;57.28139241
1.433333333;21.35909225;58.11071566
1.45;21.60196307;59.17321939
1.466666667;22.13238786;60.05466533
1.483333333;22.79920533;61.14734536
1.5;23.10636314;62.0589676
1.516666667;23.49431407;62.97333315
1.533333333;23.81102805;63.7368172
1.55;24.19984771;64.75542813
1.566666667;24.49310563;65.60121118
1.583333333;24.85846923;66.40035813
1.6;25.08744016;67.06508339
1.616666667;25.37287939;67.96847573
1.633333333;25.70696823;68.72098658
