time;Si (?mol/L);Al (?mol/L)
0;0.147872045;0.570478745
0.016666667;1.410306988;0.605258966
0.033333333;2.125239586;0.771464545
0.05;3.016066603;0.910162492
0.066666667;3.620342619;1.223075447
0.083333333;4.378216578;1.480973137
0.1;4.878442375;1.705250386
0.116666667;5.509143843;1.889794387
0.133333333;5.873113401;2.23327138
0.15;6.337004201;2.518676703
0.166666667;6.664638761;3.021086686
0.183333333;7.075678656;3.444030175
0.2;7.388448899;3.970891388
0.216666667;7.785450272;4.415229702
0.233333333;8.090788357;5.101023906
0.25;8.472925413;5.673731175
0.266666667;8.786521451;6.408427838
0.283333333;9.186000211;7.020868354
0.3;9.484731932;7.746395806
0.316666667;9.86108842;8.352723515
0.333333333;10.09871128;9.151604656
0.35;10.3982688;9.819060438
0.366666667;10.682962;10.53847508
0.383333333;11.04527997;11.14174639
0.4;11.32254101;11.9956428
0.416666667;11.66999466;12.70894463
0.433333333;11.97946172;13.58729227
0.45;12.37398571;14.31893253
0.466666667;12.69171072;15.13003928
0.483333333;13.0878863;15.80666428
0.5;13.39817916;16.91118579
0.516666667;13.78692258;17.83537948
0.533333333;14.11373134;18.99491625
0.55;14.52724862;19.96189959
0.566666667;14.8697475;21.2284105
0.583333333;15.29978069;22.28708595
0.6;15.56548059;23.57499168
0.616666667;15.90137311;24.65200556
0.633333333;16.18276313;25.82376794
0.65;16.5434295;26.8029769
0.666666667;16.82564532;28.22230799
0.683333333;17.17970533;29.40629599
0.7;17.46192114;30.72782216
0.716666667;17.81598116;31.83540008
0.733333333;18.13948674;33.21194151
0.75;18.54144288;34.35925267
0.766666667;18.90458665;35.67160963
0.783333333;19.35609052;36.76390552
0.8;19.66473178;38.11905213
0.816666667;20.06090736;39.24802487
0.833333333;20.36211647;40.45952051
0.85;20.74342773;41.47234991
0.866666667;20.98105059;43.04755758
0.883333333;21.28391129;44.36297094
0.9;21.55374017;45.79452764
0.916666667;21.89623905;46.98768486
0.933333333;22.11156544;48.10137558
0.95;22.39047807;49.02862567
0.966666667;22.68590661;50.47240799
0.983333333;23.05400514;51.67473442
1;23.34200152;53.24994209
1.016666667;23.7026679;54.56535545
1.033333333;24.00718019;55.92661487
1.05;24.38436247;57.06170042
1.066666667;24.67401045;58.38933939
1.083333333;25.04376057;59.49691731
1.1;25.34992445;60.8367819
1.116666667;25.72875833;61.95352902
1.133333333;25.95399426;63.10389658
1.15;26.23703587;64.06171072
1.166666667;26.52750963;65.32822162
1.183333333;26.89147919;66.38689707
1.2;27.12662467;67.61061832
1.216666667;27.41792423;68.63261693
1.233333333;27.71004959;69.83494336
1.25;28.07567074;70.83554714
1.266666667;28.32733212;72.02259155
1.283333333;28.6524893;73.01402612
1.3;28.9371825;74.0940964
1.316666667;29.29619728;74.99689527
1.333333333;29.60649014;75.86301729
1.35;29.99853674;76.58243193
1.366666667;30.31708755;77.61665616
1.383333333;30.72647585;78.47972177
1.4;30.9310669;79.47115635
1.416666667;31.19346363;80.29754512
1.433333333;31.42282853;81.28286689
1.45;31.70999912;82.10314285
1.466666667;31.94844778;83.09152102
1.483333333;32.25296007;83.91790979
1.5;32.47489282;84.68317049
1.516666667;32.74637329;85.32006224
1.533333333;33.00216365;86.21063549
1.55;33.32401765;86.95450137
1.566666667;33.57980801;87.60667513
1.583333333;33.89340405;88.15493117
1.6;34.15827816;88.90490985
1.616666667;34.49829965;89.52957598
1.633333333;34.73014194;90.25815984
1.65;35.02061571;90.87060035
1.666666667;35.22768414;91.63586105
1.683333333;35.4851261;92.27886561
1.7;35.68476237;92.99522385
1.716666667;35.93394637;93.59238235
1.733333333;36.13358264;94.30874059
1.75;36.38359244;94.90589908
1.766666667;36.59974462;95.49694478
1.783333333;36.86709612;95.99018555
1.8;37.10059;96.70348739
1.816666667;37.39271536;97.30370229
1.833333333;37.61051913;97.88557877
1.85;37.88612858;98.36965033
1.866666667;38.13778997;98.90873716
1.883333333;38.45634078;99.35918828
1.9;38.67414455;100.0052492
1.916666667;38.95140559;100.5443361
1.933333333;39.17829312;101.0650845
1.95;39.45637995;101.5002536
1.966666667;39.69152543;102.0821301
1.983333333;39.98612817;102.5662016
2;40.19732558;103.1572473
2.016666667;40.46715447;103.6504881
2.033333333;40.64449427;104.1834621
2.05;40.86394963;104.6308568
2.066666667;41.10900465;105.0079542
2.083333333;41.42260069;105.3239236
2.1;41.67673946;105.8049388
2.116666667;41.9903355;106.2064874
2.133333333;42.22795836;106.7486307
2.15;42.52503849;107.2051946
2.166666667;42.7370617;107.6648149
2.183333333;43.00111001;108.0480252
2.2;43.12807629;108.5107019
2.216666667;43.28972598;108.8969685
2.233333333;43.46871737;109.3963221
2.25;43.69890808;109.8162092
2.266666667;43.86055776;110.2513783
2.283333333;44.0659746;110.6131937
2.3;44.25322395;111.0239116
2.316666667;44.4924984;111.3673886
2.333333333;44.67231559;111.7169784
2.35;44.90333209;112.0115529
2.366666667;45.11700688;112.43144
2.383333333;45.38270679;112.7840862
2.4;45.60629113;113.0908864
2.416666667;45.88107479;113.3457276
2.433333333;46.08649163;113.5761177
2.45;46.34475938;113.7698309
2.466666667;46.53366031;113.9971646
2.483333333;46.7663284;114.1908778
2.5;46.91311377;114.528242
2.516666667;47.1020147;114.8105909
2.533333333;47.28348348;115.056263
2.55;47.50789362;115.2652582
2.566666667;47.7067041;115.5690019
2.583333333;47.95671389;115.8268996
2.6;48.13818267;116.2376175
2.616666667;48.3634186;116.5841509
2.633333333;48.56222908;117.01932
2.65;48.81389046;117.3811354
2.666666667;49.03086844;117.6940484
2.683333333;49.29987153;117.9580589
2.7;49.4995078;118.1517721
2.716666667;49.75199498;118.3179777
2.733333333;49.93428955;118.618665
2.75;50.16943503;118.8735063
2.766666667;50.29144654;119.1955884
2.783333333;50.44814145;119.4687682
2.8;50.61392012;119.6410865
2.816666667;50.82264014;119.7889537
2.833333333;50.9884188;119.8818056
2.85;51.19796462;119.9593755
2.866666667;51.38191079;120.0063813
2.883333333;51.6096241;120.0442179
2.9;51.78448652;120.085111
2.916666667;52.00311608;120.1229476
2.933333333;52.16972054;120.4603118
2.95;52.38009216;120.7457171
2.966666667;52.56403832;120.884415
2.983333333;52.79257743;120.9986617
3;52.97734939;121.3238003
3.016666667;53.20588851;121.59698
3.033333333;53.35515126;121.7234524
3.05;53.53992322;121.8315863
3.066666667;53.69001177;122.0864276
3.083333333;53.88386748;122.3015356
3.1;54.03395603;122.5624897
3.116666667;54.21872799;122.7837105
3.133333333;54.36881654;123.0752287
3.15;54.55441429;123.3209007
3.166666667;54.72267034;123.6185317
3.183333333;54.93469355;123.8703166
3.2;55.12937505;124.2504704
3.216666667;55.37690746;124.5694962
3.233333333;55.54516351;124.6684609
