time;Si (?mol/L);Al (?mol/L)
0;-0.024526596;0.842312612
0.016666667;0.07298794;0.89112498
0.033333333;0.170502476;0.974143001
0.05;0.283571329;1.042908666
0.066666667;0.458857452;1.194337994
0.083333333;0.679169232;1.320113082
0.1;0.924040461;1.460140525
0.116666667;1.230310311;1.580214671
0.133333333;1.466995057;1.629027039
0.15;1.758529238;1.672138464
0.166666667;1.957556162;2.031652182
0.183333333;2.210613874;2.331306007
0.2;2.439930785;2.528342873
0.216666667;2.732283614;2.694024556
0.233333333;2.977973491;3.218865598
0.25;3.285880638;3.655342036
0.266666667;3.501280528;4.183033549
0.283333333;3.770711206;4.622360458
0.3;3.986111096;5.19850998
0.316666667;4.256360421;5.677743485
0.333333333;4.479946794;6.233939709
0.35;4.758382603;6.696070387
0.366666667;4.911565222;7.263668495
0.383333333;5.104861608;7.737201058
0.4;5.250676393;8.273443984
0.416666667;5.427599813;8.721322307
0.433333333;5.636450517;9.303172771
0.45;5.900150656;9.788107217
0.466666667;6.14747783;10.52958406
0.483333333;6.45865957;11.15134112
0.5;6.723178358;11.8899675
0.516666667;7.058100899;12.50602362
0.533333333;7.314433203;13.39857543
0.55;7.634620075;14.14290275
0.566666667;7.946620464;15.04970692
0.583333333;8.338029737;15.80543612
0.6;8.674589574;16.76639924
0.616666667;9.097926131;17.56773598
0.633333333;9.435304617;18.44603544
0.65;9.859459822;19.17896087
0.666666667;10.19765696;20.12282116
0.683333333;10.61526297;20.91275602
0.7;10.82738827;21.90222385
0.716666667;11.094363;22.72636436
0.733333333;11.29830182;23.76999114
0.75;11.55872736;24.63973919
0.766666667;11.82652074;25.55509477
0.783333333;12.15816869;26.32222586
0.8;12.458708;27.52262855
0.816666667;12.83128837;28.52349827
0.833333333;13.17194145;29.70679813
0.85;13.59282206;30.69056502
0.866666667;13.94248027;31.89951913
0.883333333;14.38055249;32.90894026
0.9;14.73102935;34.0950906
0.916666667;15.16992023;35.08170796
0.933333333;15.5375887;36.31061536
0.95;15.99367119;37.33143838
0.966666667;16.34578534;38.63160756
0.983333333;16.77894568;39.71229046
1;17.13924632;40.86708562
1.016666667;17.58959827;41.83089921
1.033333333;17.86230354;42.99424578
1.05;18.20786851;43.96661079
1.066666667;18.47320594;44.97888239
1.083333333;18.80321659;45.82297619
1.1;19.09311348;47.02907983
1.116666667;19.45668871;48.03565049
1.133333333;19.76295856;49.28166072
1.15;20.15109324;50.32243703
1.166666667;20.46718687;51.47723219
1.183333333;20.86432668;52.43819531
1.2;21.20497976;53.66995318
1.216666667;21.62749767;54.69362667
1.233333333;21.99352885;55.88832842
1.25;22.45779782;56.88634766
1.266666667;22.80827468;57.96988104
1.283333333;23.2496215;58.87383474
1.3;23.75646018;60.0086766
1.316666667;24.39673853;60.95538736
1.333333333;24.7406662;61.85934106
1.35;25.17628249;62.61221979
1.366666667;25.44653181;63.57888386
1.383333333;25.78309165;64.38592154
1.4;25.98784911;65.3725389
1.416666667;26.2507306;66.19667941
1.433333333;26.50460696;67.18899771
1.45;26.81824465;68.01598869
1.466666667;27.08931262;69.01970888
1.483333333;27.42750976;69.85525127
1.5;27.75015257;70.86752287
1.516666667;28.14729238;71.7087662
1.533333333;28.46174872;72.81510335
1.55;28.85970718;73.73901035
1.566666667;29.19954161;74.83394561
1.583333333;29.63188329;75.74360025
1.6;29.96434989;76.66180631
1.616666667;30.38113726;77.42323645
1.633333333;30.71442251;78.19321801
1.65;31.13202852;78.83492836
1.666666667;31.40718974;79.80159243
1.683333333;31.74129363;80.60577964
1.7;31.96569865;81.54963993
1.716666667;32.249865;82.33672431
1.733333333;32.52584486;83.143762
1.75;32.86977254;83.81682754
1.766666667;33.16294401;84.74073453
1.783333333;33.53224978;85.50786562
1.8;33.84343152;86.39186602
1.816666667;34.23074756;87.13049239
