time;Si (?mol/L);Al (?mol/L)
0;0.539392321;0.861187649
0.016666667;0.797585366;0.985370175
0.033333333;1.137532154;1.149285949
0.05;1.558406891;1.28569409
0.066666667;1.996623331;1.614655663
0.083333333;2.54054158;1.891658373
0.1;2.946552;2.248127578
0.116666667;3.459090025;2.543468711
0.133333333;3.606626487;2.918276339
0.15;3.78636897;3.231955893
0.166666667;3.859583847;3.661778787
0.183333333;3.957572586;4.021304396
0.2;3.991149284;4.45112729
0.216666667;4.023900187;4.807596496
0.233333333;4.049218931;5.423860015
0.25;4.07371188;5.939262212
0.266666667;4.131236645;6.659443455
0.283333333;4.197019364;7.260424955
0.3;4.181048339;7.919478125
0.316666667;4.15681936;8.468500763
0.333333333;4.272149802;9.118384721
0.35;4.418860468;9.661294552
0.366666667;4.672924536;10.37536299
0.383333333;4.983968486;10.97328808
0.4;4.976255415;11.77293582
0.416666667;4.968542343;12.4411582
0.433333333;5.034325062;13.21024191
0.45;5.124881642;13.85095665
0.466666667;5.297191966;14.81565019
0.483333333;5.518224218;15.61529793
0.5;5.690534542;16.37215602
0.516666667;5.904134636;17.00370156
0.533333333;6.102044617;18.04480519
0.55;6.35693448;18.91169381
0.566666667;6.578792527;19.81831567
0.583333333;6.858456252;20.57211736
0.6;7.147203726;21.61322099
0.616666667;7.50944699;22.48316601
0.633333333;7.822968326;23.59151052
0.65;8.211637042;24.51341441
0.666666667;8.484694404;25.53006681
0.683333333;8.823815397;26.37861701
0.7;8.97300345;27.51141275
0.716666667;9.164307068;28.45776786
0.733333333;9.420848521;29.67919931
0.75;9.745105197;30.69585171
0.766666667;10.0107304;31.82864745
0.783333333;10.34324503;32.77194616
0.8;10.66750171;34.05756208
0.816666667;11.06773156;35.12922975
0.833333333;11.45970346;36.34149199
0.85;11.9515966;37.34897517
0.866666667;12.26098895;38.42369924
0.883333333;12.65461244;39.3211519
0.9;12.98960446;40.40504518
0.916666667;13.40882761;41.30555424
0.933333333;13.84539245;42.40778595
0.95;14.39096229;43.32357703
0.966666667;14.55996944;44.64281339
0.983333333;14.77109214;45.74198869
1;15.04084632;47.15291716
1.016666667;15.37831573;48.33155896
1.033333333;15.69926922;49.50408795
1.05;16.10445385;50.4810071
1.066666667;16.42623313;51.81246908
1.083333333;16.83306935;52.92386999
1.1;17.18870625;54.11779381
1.116666667;17.63022587;55.11305138
1.133333333;17.98751436;56.21833949
1.15;18.43811773;57.14024337
1.166666667;18.82100588;58.34944921
1.183333333;19.2988605;59.35693239
1.2;19.73459955;60.48972813
1.216666667;20.28099519;61.42997044
1.233333333;20.68370243;62.5749918
1.25;21.18963409;63.53051612
1.266666667;21.38754407;64.62052221
1.283333333;21.63665337;65.53020048
1.3;21.92952982;66.71189868
1.316666667;22.29094729;67.69493064
1.333333333;22.60116544;68.83383919
1.35;22.98900836;69.78630711
1.366666667;23.34299367;70.79684671
1.383333333;23.7836875;71.6392841
1.4;24.22438132;72.48783429
1.416666667;24.77903491;73.19578992
1.433333333;25.0826467;74.38360093
1.45;25.46470906;75.3727457
1.466666667;25.8302555;76.45358257
1.483333333;26.29076842;77.35409163
1.5;26.65714066;78.4288157
1.516666667;27.11104721;79.32321196
1.533333333;27.34694378;80.05561882
1.55;27.64394921;80.66576953
1.566666667;27.94178043;81.55405297
1.583333333;28.31888801;82.29562904
1.6;28.67782809;83.278661
1.616666667;29.12512828;84.09970357
1.633333333;29.45103655;84.93297175
1.65;29.85539538;85.62564536
1.666666667;30.1722199;86.46502634
1.683333333;30.56914657;87.16381276
1.7;30.91322233;88.00625015
1.716666667;31.33740025;88.70809297
1.733333333;31.69964351;89.50162791
1.75;32.15107268;90.16068107
1.766666667;32.54139299;90.91448276
1.783333333;33.02915715;91.53991549
1.8;33.43764496;92.08282532
1.816666667;33.94522821;92.53404304
1.833333333;34.15057035;93.26339349
1.85;34.40958919;93.8704878
1.866666667;34.59758962;94.60595106
1.883333333;34.83844097;95.21915818
1.9;35.16022026;95.77123722
1.916666667;35.56292749;96.23162415
1.933333333;35.85828133;96.99459504
1.95;36.23538891;97.62919698
1.966666667;36.63892194;98.19655804
1.983333333;37.15063417;98.66917059
2;37.4476396;99.1998548
2.016666667;37.81648923;99.64495972
2.033333333;38.1234042;100.1450799
2.05;38.51124712;100.5626772
2.066666667;38.84541334;101.0322333
2.083333333;39.26133331;101.422323
2.1;39.49722988;101.9560636
2.116666667;39.7958869;102.4011685
2.133333333;39.99627426;103.0418832
2.15;40.24125458;103.5756239
2.166666667;40.57789819;104.2499591
2.183333333;40.99546974;104.8112073
2.2;41.25944336;105.2899327
2.216666667;41.58782901;105.6891915
2.233333333;41.82455137;106.1373528
2.25;42.11660203;106.5060476
2.266666667;42.40947848;106.8961373
2.283333333;42.76594118;107.2220425
2.3;43.05881763;107.5693425
2.316666667;43.42436407;107.8616272
2.333333333;43.77256881;108.1569683
2.35;44.20417889;108.4064634
2.366666667;44.53421613;108.7629326
2.383333333;44.94848451;109.0582737
2.4;45.09602097;109.4269686
2.416666667;45.28071822;109.7345353
2.433333333;45.46624127;110.185753
2.45;45.68809932;110.5575042
2.466666667;45.89096408;110.9139735
2.483333333;46.14998292;111.212371
2.5;46.39083426;111.5077121
2.516666667;46.69609764;111.7541508
2.533333333;47.02035431;112.0831124
2.55;47.41810678;112.3540023
2.566666667;47.65978392;112.7104715
2.583333333;47.96587309;113.008869
2.6;48.19846648;113.2278001
2.616666667;48.48721396;113.4100542
2.633333333;48.75696814;113.6259289
2.65;49.09196015;113.8051267
2.666666667;49.25188355;114.0362833
2.683333333;49.45722568;114.2277067
2.7;49.62623283;114.3243816
2.716666667;49.84148451;114.4027181
2.733333333;50.11206449;114.5207878
2.75;50.44870809;114.6205191
2.766666667;50.67386932;114.7049684
2.783333333;50.94610089;114.7771921
2.8;51.16217837;115.0144615
2.816666667;51.43440994;115.2089413
2.833333333;51.63231992;115.5409593
2.85;51.87647444;115.817962
2.866666667;52.13053851;116.1133032
2.883333333;52.44075666;116.3597418
2.9;52.71463982;116.6367445
2.916666667;53.05376081;116.8679012
2.933333333;53.28057363;117.092945
2.95;53.57262429;117.281312
2.966666667;53.69703848;117.469679
2.983333333;53.84870392;117.627482
3;53.98220186;117.8127926
3.016666667;54.15286059;117.9644828
3.033333333;54.33342887;118.207865
3.05;54.56106748;118.4115141
3.066666667;54.7705386;118.6548963
3.083333333;55.02708005;118.8616018
3.1;55.26462821;119.089702
3.116666667;55.55915626;119.278069
3.133333333;55.73972453;119.4878308
3.15;55.96901474;119.6578594
3.166666667;56.16940211;119.9409749
3.183333333;56.41685981;120.1721316
