time;Si (?mol/L);Al (?mol/L)
0;0.21970714;0.975734298
0.016666667;0.342595519;1.008264412
0.033333333;0.497735002;1.068412389
0.05;0.637555211;1.120275008
0.066666667;0.809626524;1.324035877
0.083333333;0.924452127;1.49465531
0.1;1.072335112;1.618324375
0.116666667;1.154909612;1.725422721
0.133333333;1.262478717;2.012037182
0.15;1.43455003;2.25446306
0.166666667;1.647741499;2.419558921
0.183333333;1.657751016;2.557036917
0.2;1.659697757;2.760797786
0.216666667;1.758397809;2.931417219
0.233333333;1.882092466;3.016421275
0.25;1.997724347;3.090378184
0.266666667;2.146413609;3.32728049
0.283333333;2.278171042;3.528279573
0.3;2.434116803;3.729278656
0.316666667;2.566680513;3.899898089
0.333333333;2.73068905;4.117467891
0.35;2.822132603;4.296372683
0.366666667;2.930507986;4.522227843
0.383333333;3.087260025;4.712179781
0.4;3.284325942;4.899369932
0.416666667;3.457203532;5.056180433
0.433333333;3.67120128;5.085948761
0.45;3.852947923;5.112955302
0.466666667;4.075008446;5.19519757
0.483333333;4.232566762;5.263630907
0.5;4.422376182;5.437012127
0.516666667;4.53881434;5.582775482
0.533333333;4.68830988;5.789298138
0.55;4.78781621;5.962679357
0.566666667;4.904254369;6.113966285
0.583333333;5.045687133;6.23763535
0.6;5.219371;6.435872647
0.616666667;5.434981303;6.59820672
0.633333333;5.69896826;6.592071825
0.65;5.881521182;6.588698716
0.666666667;6.10519426;6.762079935
0.683333333;6.287747181;6.905081504
0.7;6.512226537;6.882375891
0.716666667;6.661722077;6.86519385
0.733333333;6.845081276;7.140761165
0.75;7.03650325;7.372139898
0.766666667;7.277108158;7.440573235
0.783333333;7.583827828;7.500721213
0.8;7.965531314;7.707243869
0.816666667;8.074712975;7.880625088
0.833333333;8.208889241;8.092671317
0.85;8.310008125;8.271576109
0.866666667;8.436121615;8.497431269
0.883333333;8.570297881;8.687383207
0.9;8.729468752;8.833146562
0.916666667;8.872514071;8.95405384
0.933333333;9.047810494;9.061152186
0.95;9.198918589;9.148918028
0.966666667;9.391953119;9.374773188
0.983333333;9.6011132;9.56196334
1;9.860262493;9.749153491
1.016666667;10.0613598;9.905963992
1.033333333;10.30438354;10.03239484
1.05;10.49741807;10.1367314
1.066666667;10.73237903;10.32944513
1.083333333;10.95040817;10.4917792
1.1;11.21923279;10.61544826
1.116666667;11.29616335;10.71978482
1.133333333;11.39002573;10.74679137
1.15;11.54194011;10.77103612
1.166666667;11.72771814;10.81185159
1.183333333;11.91268989;10.84438171
1.2;12.14926341;10.98462149
1.216666667;12.36003605;11.10552877
1.233333333;12.6207979;11.22919783
1.25;12.80738221;11.33353439
1.266666667;13.03508667;11.43234738
1.283333333;13.21280193;11.51735143
1.3;13.4332499;11.76806267
1.316666667;13.64482881;11.97734711
1.333333333;13.90639694;12.0568276
1.35;14.11878213;12.12249915
1.366666667;14.37309375;12.31245108
1.383333333;14.65239999;12.46926159
1.4;14.99943354;12.51560063
1.416666667;15.0941022;12.5564161
1.433333333;15.21376547;12.76293876
1.45;15.34229779;12.93631998
1.466666667;15.50469377;13.1704605
1.483333333;15.61629427;13.36593601
1.5;15.74482659;13.5255083
1.516666667;15.91528535;13.65746272
1.533333333;16.12847682;13.70380177
1.55;16.33360551;13.74461724
1.566666667;16.58066064;13.98704312
1.583333333;16.75998845;14.19080399
1.6;16.98285525;14.36418521
1.616666667;17.15412028;14.50994856
1.633333333;17.36811803;14.51209903
1.65;17.51358218;14.51424949
1.666666667;17.69371627;14.70696321
1.683333333;17.83192393;14.86929729
1.7;18.00399524;15.01782243
1.716666667;18.12446478;15.14425328
1.733333333;18.27073521;15.16021268
1.75;18.41781192;15.17617207
1.766666667;18.59794601;15.23908184
1.783333333;18.71922183;15.29370624
1.8;18.86549226;15.36766315
1.816666667;19.02143802;15.43057291
1.833333333;19.21044117;15.47415017
1.85;19.34058604;15.51220386
1.866666667;19.50459458;15.66625257
1.883333333;19.64280223;15.79544521
1.9;19.80681077;15.93568499
1.916666667;20.01355202;16.05659227
1.933333333;20.26383226;16.16092883
1.95;20.51330622;16.24869467
1.966666667;20.81518822;16.28674836
1.983333333;20.85986768;16.32204026
2;20.92147896;16.39599717
2.016666667;21.02662923;16.46166872
2.033333333;21.14871133;16.71237996
2.05;21.24499255;16.92442619
2.066666667;21.3582056;16.98457417
2.083333333;21.4802877;17.03643678
2.1;21.63623346;17.19600907
2.116666667;21.76718462;17.33072528
2.133333333;21.93199943;17.47925042
2.15;22.0806887;17.60291949
2.166666667;22.27130439;17.74592106
2.183333333;22.3933865;17.86682833
2.2;22.54207576;17.80269593
2.216666667;22.68189597;17.74961066
2.233333333;22.85557983;17.79871149
2.25;23.04700181;17.83952697
2.266666667;23.28196277;18.0515732
2.283333333;23.37018122;18.2277162
2.3;23.47533149;18.27405525
2.316666667;23.58128804;18.31487072
2.333333333;23.70337014;18.60148518
2.35;23.81819574;18.84114927
2.366666667;23.95801595;18.89301189
2.383333333;24.07203528;18.93935094
2.4;24.21266177;19.11273216
2.416666667;24.30088021;19.25849551
2.433333333;24.41570581;19.40702065
2.45;24.57326413;19.53068972
2.466666667;24.76549238;19.47484267
2.483333333;24.90611887;19.43004276
2.5;25.08141529;19.56752076
2.516666667;25.29138165;19.68566625
2.533333333;25.55294977;19.8120971
2.55;25.5984355;19.91643366
