time;Si (?mol/L);Al (?mol/L)
0;0.537818394;0.317078918
0.016666667;0.592931121;0.467556811
0.033333333;0.663852745;0.623709321
0.05;0.710270578;0.754326057
0.066666667;0.765383305;0.845220478
0.083333333;0.82840048;0.921928358
0.1;0.907226553;1.001473545
0.116666667;0.954434831;1.0696695
0.133333333;1.008757113;0.981813502
0.15;1.095487634;0.908144045
0.166666667;1.205931501;1.064296555
0.183333333;1.340088713;1.194913291
0.2;1.50586372;1.268783862
0.216666667;1.553071998;1.334142509
0.233333333;1.616089174;1.461921937
0.25;1.6712019;1.572677515
0.266666667;1.734219076;1.748691183
0.283333333;1.836758494;1.896331768
0.3;1.963011258;1.956015798
0.316666667;2.089264022;2.007187904
0.333333333;2.247925024;2.052685392
0.35;2.350464443;2.089670957
0.366666667;2.476717206;2.225962309
0.383333333;2.603760415;2.339555196
0.4;2.762421418;2.368028835
0.416666667;2.912387527;2.393665167
0.433333333;3.102666324;2.600889225
0.45;3.253422878;2.771228276
0.466666667;3.44449212;2.751467676
0.483333333;3.675083605;2.734544383
0.5;3.968910678;2.947443058
0.516666667;4.040622747;3.123456726
0.533333333;4.128143713;3.078160351
0.55;4.239378024;3.04421321
0.566666667;4.375116126;3.143619555
0.583333333;4.77328192;3.228839359
0.6;5.276576879;3.189217601
0.616666667;5.580679736;3.158107768
0.633333333;5.956713073;3.356819901
0.65;6.076642278;3.524321644
0.666666667;6.221075274;3.72019647
0.683333333;6.300691791;3.882023596
0.7;6.39690765;3.978592633
0.716666667;6.477314613;4.058137821
0.733333333;6.573530472;4.271036496
0.75;6.669746331;4.449887471
0.766666667;6.789675536;4.648599605
0.783333333;6.942803425;4.81326404
0.8;7.135453557;4.980765783
0.816666667;7.191356728;5.122731752
0.833333333;7.255954793;5.142693466
0.85;7.400387789;5.159817873
0.866666667;7.585923917;5.108846882
0.883333333;7.7706696;5.066387816
0.9;7.996518415;5.134583771
0.916666667;8.205767889;5.188593184
0.933333333;8.471929392;5.469587256
0.95;8.68196931;5.702347089
0.966666667;8.948921258;5.810265359
0.983333333;9.11074404;5.90115978
1;9.304975062;6.156618078
1.016666667;9.499206083;6.372354061
1.033333333;9.750349134;6.585252735
1.05;9.976988394;6.761266403
1.066666667;10.26053968;6.820950433
1.083333333;10.4476567;6.86928523
1.1;10.68299086;7.13893007
1.116666667;10.88670721;7.363177977
1.133333333;11.13864071;7.405838158
1.15;11.24434191;7.442823722
1.166666667;11.3745469;7.689770096
1.183333333;11.47234365;7.894156846
1.2;11.59464418;7.885745478
1.216666667;11.74144851;7.880171419
1.233333333;11.92066108;7.959716607
1.25;12.02715273;8.027912561
1.266666667;12.16605261;8.158529297
1.283333333;12.27175381;8.266447567
1.3;12.40274924;8.368691221
1.316666667;12.49264154;8.453911025
1.333333333;12.60703763;8.590202378
1.35;12.72143372;8.703795264
1.366666667;12.8690285;8.942229713
1.383333333;13.08223019;9.143779155
1.4;13.35234392;9.365189754
1.416666667;13.52444249;9.549715346
1.433333333;13.73764418;9.737078247
1.45;13.94294143;9.896068065
1.466666667;14.20594116;9.899005931
1.483333333;14.46894088;9.901943796
1.5;14.79833797;10.10349324
1.516666667;15.07003259;10.27383229
1.533333333;15.40812457;10.19448822
1.55;15.59761293;10.12933068
1.566666667;15.8368993;10.37627706
1.583333333;16.0271781;10.58066381
1.6;16.26725492;10.87584442
1.616666667;16.46543817;11.12279079
1.633333333;16.71420989;11.22503445
1.65;16.92108802;11.31025425
1.666666667;17.17776419;11.41817252
1.683333333;17.36883343;11.50622963
1.7;17.6010058;11.64252099
1.716666667;17.83396862;11.75611387
1.733333333;18.12463392;11.99454832
1.75;18.16709953;12.19326046
