time;Si (?mol/L);Al (?mol/L)
0;-1.389696524;0.498173643
0.016666667;-0.789807839;0.5813356
0.033333333;-0.044368647;0.6509918
0.05;0.582599202;0.755762968
0.066666667;1.363579798;0.844327228
0.083333333;1.822149094;0.849155796
0.1;2.394958614;0.853984364
0.116666667;2.806985597;0.931744018
0.133333333;3.316328326;0.995997916
0.15;3.623423547;1.122378294
0.166666667;4.003294022;1.227149462
0.183333333;4.254538467;1.21036882
0.2;4.570095927;1.196289328
0.216666667;4.707100147;1.346980069
0.233333333;4.876260875;1.473360447
0.25;4.972646349;1.610545431
0.266666667;5.092726092;1.726121204
0.283333333;5.197573805;1.793076253
0.3;5.317653548;1.849226697
0.316666667;5.471582246;1.932388654
0.333333333;5.657667452;1.999343703
0.35;5.778593419;2.171643654
0.366666667;5.931675893;2.316932092
0.383333333;6.159226069;2.413599806
0.4;6.435857231;2.494060611
0.416666667;6.48316172;2.639349049
0.433333333;6.538928447;2.760327125
0.45;6.60231119;2.919121319
0.466666667;6.68261841;3.053605152
0.483333333;6.779850109;3.204295892
0.5;6.900776075;3.327975119
0.516666667;7.087707505;3.413838228
0.533333333;7.315257681;3.486195579
0.55;7.470032603;3.663897833
0.566666667;7.665426272;3.811887422
0.583333333;7.852357701;4.022003492
0.6;8.080754101;4.194303444
0.616666667;8.285456232;4.277465401
0.633333333;8.53077711;4.347121601
0.65;8.743095256;4.524823855
0.666666667;9.005340611;4.672813444
0.683333333;9.358131922;4.71275698
0.7;9.802315412;4.747298213
0.716666667;9.89954711;4.884483196
0.733333333;10.02216552;5.002760121
0.75;10.1363217;5.269600369
0.766666667;10.27501837;5.490521044
0.783333333;10.43910175;5.757361292
0.8;10.63618787;5.978281968
0.816666667;10.79180902;6.053340471
0.833333333;10.98043289;6.117594368
0.85;11.12843802;6.360124254
0.866666667;11.3170619;6.559435719
0.883333333;11.53953473;6.688517249
0.9;11.82039702;6.793288417
0.916666667;12.00140488;6.927772249
0.933333333;12.22472393;7.040646871
0.95;12.4057318;7.077889255
0.966666667;12.62905085;7.109729337
0.983333333;12.88537264;7.314443104
1;13.20854612;7.486743055
1.016666667;13.28208355;7.556399255
1.033333333;13.38100769;7.612549699
1.05;13.52055058;7.760539288
1.066666667;13.68632642;7.884218515
1.083333333;13.85971826;8.026805802
1.1;14.07542131;8.147783878
1.116666667;14.25812162;8.303876921
1.133333333;14.49074914;8.435659602
1.15;14.65652497;8.518821559
1.166666667;14.85530353;8.588477759
1.183333333;14.98807663;8.677042019
1.2;15.15385247;8.752100522
1.216666667;15.29508781;8.962216592
1.233333333;15.46932588;9.139918846
1.25;15.63510171;9.336529159
1.266666667;15.83557272;9.500725656
1.283333333;16.05212199;9.740554391
1.3;16.32790692;9.939865856
1.316666667;16.46914226;10.09866005
1.333333333;16.64422656;10.23044273
1.35;16.72707245;10.27848972
1.366666667;16.8259966;10.31573211
1.383333333;16.98500264;10.30435377
1.4;17.17701141;10.29297543
1.416666667;17.30132227;10.54360877
1.433333333;17.45186608;10.75102368
1.45;17.63541261;10.93412824
1.466666667;17.86211656;11.08752013
1.483333333;18.02958484;11.28142929
1.5;18.23090208;11.44292464
1.516666667;18.38144588;11.58010962
1.533333333;18.57430088;11.69298425
1.55;18.7502314;11.84907729
1.566666667;18.96847311;11.98356112
1.583333333;19.10293866;11.94247012
1.6;19.27040694;11.90948257
1.616666667;19.41333473;11.91701229
1.633333333;19.58926525;11.92184085
1.65;19.71526856;12.09414081
1.666666667;19.87512082;12.23672809
1.683333333;19.98335343;12.3171889
1.7;20.11781898;12.3868451
1.716666667;20.24382229;12.58345541
1.733333333;20.40367456;12.75035306
1.75;20.50429115;12.94156107
1.766666667;20.62183222;13.10305642
1.783333333;20.77322225;13.13759765
1.8;20.96692347;13.16943773
1.816666667;21.11069748;13.37685265
1.833333333;21.28747422;13.55185375
1.85;21.40501529;13.58369383
1.866666667;21.54878931;13.61013161
1.883333333;21.70102556;13.75001775
1.9;21.88711076;13.86829467
1.916666667;22.13327786;14.07030729
1.933333333;22.43952686;14.23990609
1.95;22.47159932;14.48243597
1.966666667;22.51298024;14.68444859
1.983333333;22.59667236;14.85404739
2;22.69728895;14.99393352
2.016666667;22.79875177;15.03387706
2.033333333;22.91713906;15.06571714
2.05;23.06091307;15.18939637
2.066666667;23.23938227;15.29146639
2.083333333;23.33999886;15.44485828
2.1;23.46684839;15.57123866
2.116666667;23.59454415;15.60037759
2.133333333;23.7467804;15.62411421
2.15;23.85670546;15.7612992
2.166666667;24.00132569;15.87687497
2.183333333;24.2229523;15.9114162
2.2;24.49619857;15.94055513
2.216666667;24.72713364;16.17228041
2.233333333;25.01815061;16.36618958
2.25;25.05106929;16.51958147
2.266666667;25.09245021;16.65136415
2.283333333;25.12536889;16.8182618
2.3;25.16674982;16.95814793
2.316666667;25.20813074;17.11424098
2.333333333;25.2579739;17.24602366
2.35;25.3162793;17.42372591
2.366666667;25.3923554;17.5717155
2.383333333;25.51158892;17.67648667
2.4;25.65620915;17.76234978
2.416666667;25.77544267;17.81850022
2.433333333;25.92937137;17.86384606
2.45;26.03168041;18.06045637
2.466666667;26.15937617;18.22465287
2.483333333;26.27860969;18.35103325
2.5;26.42407615;18.45580441
2.516666667;26.62116226;18.63350667
2.533333333;26.87071426;18.78149626
2.55;26.9552526;18.843049
2.566666667;27.05756164;18.89379714
2.583333333;27.26395622;19.05529249
2.6;27.51350822;19.18977632
2.616666667;27.78083092;19.24862792
2.633333333;28.1183902;19.29667491
2.65;28.28162736;19.38523917
2.666666667;28.48886816;19.46029767
2.683333333;28.46932096;19.67581604
2.7;28.45061999;19.85621945
2.716666667;28.44038125;19.85834687
2.733333333;28.42083406;19.85777313
2.75;28.46221498;19.94633739
2.766666667;28.51290436;20.02139589
2.783333333;28.60675117;20.19099469
2.8;28.72683091;20.33088083
2.816666667;28.94338017;20.48157157
2.833333333;29.20308686;20.60795195
2.85;29.1920019;20.7802519
2.866666667;29.17330092;20.92554034
2.883333333;29.21468185;21.0195069
2.9;29.25690899;21.0945654
2.916666667;29.33383132;21.24255499
2.933333333;29.41921588;21.36623422
2.95;29.52237115;21.56014338
2.966666667;29.65091313;21.72163873
2.983333333;29.73629769;21.82911104
3;29.83945296;21.92307761
3.016666667;29.91637528;21.87928545
3.033333333;30.01106831;21.84359675
3.05;30.11422357;21.87543683
3.066666667;30.23430332;21.90187461
3.083333333;30.34676704;22.09308262
3.1;30.48461749;22.25457797
3.116666667;30.71047522;22.31342956
3.133333333;30.98879883;22.3641777
3.15;31.06656737;22.45544311
3.166666667;31.1612604;22.53320277
3.183333333;31.19417908;22.68389351
3.2;31.23640623;22.81027389
3.216666667;31.3928736;22.87993009
3.233333333;31.58403615;22.93608053
3.25;31.93344256;23.10297818
3.266666667;32.37085626;23.24016316
3.283333333;32.38685047;23.32602627
3.3;32.41130691;23.39568247
3.316666667;32.46284252;23.47074097
3.333333333;32.52199414;23.53499487
3.35;32.53798835;23.53171999
3.366666667;32.56244479;23.53114625
3.383333333;32.58774746;23.62511281
3.4;32.62066614;23.70287247
3.416666667;32.77797974;23.92919545
3.433333333;32.96998851;24.11770231
3.45;32.95044131;24.34132413
3.466666667;32.92158565;24.52712984
3.483333333;32.99089196;24.60759065
3.5;33.06866051;24.67454569
3.516666667;33.1548913;24.77931686
3.533333333;33.26735503;24.86517997
3.55;33.33666134;25.01857186
3.566666667;33.42289212;25.14765339
3.583333333;33.51758515;25.22001074
3.6;33.6308951;25.28156349
3.616666667;33.71712589;25.45386344
3.633333333;33.83043584;25.59915188
3.65;33.96151649;25.64179657
3.666666667;34.11883009;25.67903895
3.683333333;34.24906452;25.70277558
3.7;34.40722434;25.7211099
3.716666667;34.51122582;25.8853064
3.733333333;34.63299802;26.02249138
3.75;34.75561643;26.07323953
3.766666667;34.90446778;26.11858536
3.783333333;34.96446563;26.27467841
3.8;35.03377194;26.40375994
3.816666667;35.10307825;26.51663456
3.833333333;35.18930904;26.61060112
3.85;35.30346522;26.65594696
3.866666667;35.43454587;26.69589049
3.883333333;35.54785582;26.8762939
3.9;35.6975534;27.02968579
3.916666667;35.78463041;27.16416962
3.933333333;35.8886319;27.27434309
3.95;35.95793821;27.48445916
3.966666667;36.04501522;27.65946027
3.983333333;36.13293846;27.80204755
4;36.23778617;27.92302563
4.016666667;36.32486318;27.90894614
4.033333333;36.43817313;27.8975678
4.05;36.60564141;27.99693666
4.066666667;36.81795956;28.08009862
4.083333333;36.88726587;28.0173984
