time;Si (?mol/L);Al (?mol/L)
0;1.786068584;0.601528361
0.016666667;2.600211783;0.724414945
0.033333333;3.207236964;0.827348231
0.05;3.960800189;0.890374922
0.066666667;4.449940014;0.944850199
0.083333333;5.060239788;1.164652801
0.1;5.429856963;1.350249749
0.116666667;5.888706802;1.421827853
0.133333333;6.178096444;1.482004072
0.15;6.548532267;1.636245838
0.166666667;6.765062211;1.767683836
0.183333333;7.038897536;2.087252925
0.2;7.239873162;2.355513536
0.216666667;7.489967686;2.752045345
0.233333333;7.707316278;3.085866791
0.25;7.973783768;3.573613676
0.266666667;8.101899696;3.98154737
0.283333333;8.262761556;4.520602735
0.3;8.471923666;4.971293495
0.316666667;8.739209804;5.478993678
0.333333333;8.957377044;5.90688067
0.35;9.233668314;6.331917191
0.366666667;9.451835554;6.685691934
0.383333333;9.719940341;7.144934108
0.4;10.02897754;7.524363091
0.416666667;10.41169309;8.237297193
0.433333333;10.7379219;8.827661038
0.45;11.14601555;9.768632828
0.466666667;11.50580895;10.55282871
0.483333333;11.94828582;11.45959485
0.5;12.26796545;12.21528601
0.516666667;12.66950991;13.14770639
0.533333333;12.99819467;13.92620133
0.55;13.4095629;14.9384349
0.566666667;13.63919122;15.78249067
0.583333333;13.93513005;16.8773879
0.6;14.24007401;17.79270545
0.616666667;14.62770145;18.9845187
0.633333333;14.88352651;19.97679897
0.65;15.19665695;21.1401075
0.666666667;15.49423308;22.109584
0.683333333;15.87531133;23.39261233
0.7;16.29895929;24.46185532
0.716666667;16.83066883;25.85320154
0.733333333;17.12169577;27.01365961
0.75;17.4872197;28.38790301
0.766666667;17.80362473;29.53410872
0.783333333;18.19616406;30.94825871
0.8;18.50438261;32.12867007
0.816666667;18.88873546;33.45445546
0.833333333;19.25671534;34.56075458
0.85;19.7262076;35.98060551
0.866666667;19.97712078;37.16671782
0.883333333;20.28779527;38.4240919
0.9;20.58946464;39.47623206
0.916666667;20.96808695;40.69940049
0.933333333;21.26238848;41.72303594
0.95;21.6328243;42.99466238
0.966666667;21.95332258;44.05250349
0.983333333;22.35814163;45.23006438
1;22.71302314;46.21094277
1.016666667;23.1620492;47.63934511
1.033333333;23.50055774;48.83115836
1.05;23.92502435;50.21395317
1.066666667;24.25616505;51.3687103
1.083333333;24.6642587;52.71159851
1.1;25.03878776;53.83214998
1.116666667;25.50746138;55.16078584
1.133333333;25.79766967;56.26708496
1.15;26.15582577;57.627076
1.166666667;26.40346435;58.76187982
1.183333333;26.71086425;60.01640344
1.2;26.99288606;61.05999219
1.216666667;27.34449297;62.14063706
1.233333333;27.65271153;63.04170226
1.25;28.03870167;64.26772116
1.266666667;28.34855752;65.29135661
1.283333333;28.73536631;66.47176797
1.3;29.05340864;67.45549683
1.316666667;29.45085985;68.56464641
1.333333333;29.7607157;69.48851538
1.35;30.14998044;70.67747815
